,Domestic production of solid biomass,Total imports of solid biomass,Total primary production of biogas,Domestic production of liquid biomass,Total production from forestry (forest wood),"Total production from other solid biomass (non-forest wood, straw, wood chips, logsâ€¦)","Biogas production from food waste, oil waste",Biogas production from solid / liquid manure (methanised livestock manure),Biogas production from methanised crop residues,Primary energy production from methanised intermediate crops,Biogas production from methanised grass and fodder crops,Biogas production from other sources,Total Final energy consumption in agriculture,Final energy consumption from solid fossil fuels (coal ...) in agriculture,Final energy consumption from solid biomass in agriculture,Final oil consumption in agriculture,Final energy consumption from gas grid / gas consumed locally in agriculture,Final electricity consumption in agriculture,Total CO2 emissions from agriculture,CO2 emissions from the use of soil improvers and fertilisers,CO2 emissions from energy combustion in agriculture,Total CH4 emissions from agriculture,CH4 emissions from enteric fermentation,CH4 emissions from livestock manure,"Other CH4 emissions from agriculture (rice, residue burning)",Total N2O emissions from agriculture,N2O emissions from livestock and livestock manure,N2O emissions from soils,"Other N2O emissions from agriculture (organic soils, residue burning)","Other GHG (HFC, PFC, SF6) emissions from agriculture",Total CO2 emissions from the LULUCF sector,CO2 emissions from LULUCF in forest,CO2 emissions from LULUCF in non-forest areas,Total CH4 emissions from the LULUCF sector,CH4 emissions from LULUCF in forest,CH4 emissions from LULUCF in non-forest areas,Total N2O emissions from the LULUCF sector,N2O emissions from LULUCF in forest,N2O emissions from LULUCF in non-forest areas,"Total other GHG (HFC, PFC, SF6) emissions from the LULUCF sector","Other GHG (HFC, PFC, SF6) emissions from LULUCF in forest","Other GHG (HFC, PFC, SF6) emissions from LULUCF in non-forest areas",Total net GHG emissions from non-energy sources in agriculture,Any general comment on Solagro figures?
FR,135.34216637074,-6.37412516747617,14.9350629149342,35.5310585990949,69.1974526078645,66.1447137628754,0.138980968975818,0.697725301387483,1.69989904452428,3.19548259624073,0.77182924687136,8.43114575693449,0.0,0.0,0.0,0.0,0.0,0.0,1.88401348119176,1.88401348119176,0.0,37.7524357068355,33.8425119574373,3.76560524939824,0.1443185,34.2543910457545,2.52652586308333,31.7133943026712,0.01447088,0.0,-45.9885110254658,-61.9808431805556,15.9923321550898,1.158997,0.5979945,0.5610025,2.6156056,0.3380363,2.2775693,0.0,0.0,0.0,31.676931808316,0.0
DE,146.9288504099,-7.00280566524112,94.2670857702705,33.065765899276,58.6347471630901,88.2941032468099,0.184077174313059,0.555304878448534,1.17528827093707,2.02706153797092,0.534372587216002,89.7909813213849,0.0,0.0,0.0,0.0,0.0,0.0,2.69201248433755,2.69201248433755,0.0,31.080392332825,23.8521508944234,5.97489743840153,1.253344,29.2208531888112,3.69750060420977,25.2597566846014,0.2635959,0.0,-15.8600227367507,-57.1323115606312,41.2722888238805,0.84981125,0.00294325,0.846868,0.65991802,0.0516136,0.60830442,0.0,0.0,0.0,48.642964539223,0.0
GB,55.5000072156893,18.1074165612618,30.6128744645227,11.0695447293949,32.373155720903,23.1268514947863,0.135887010527358,0.30387267327255,0.457794422176593,0.795574055295147,0.0701646702936572,28.8495816329574,0.0,0.0,0.0,0.0,0.0,0.0,1.1465672455993,1.1465672455993,0.0,20.6836002798739,16.743318369137,3.94028191073686,0.0,13.7233024410269,2.76133739769221,10.9619650433347,0.0,0.0,-17.0108883293368,-24.3024506702389,7.2915623409022,0.02076,0.0,0.02076,1.13581806,0.10023826,1.0355798,0.0,0.0,0.0,19.6991596971634,0.0
IT,91.8922780718298,6.63622259315488,22.6434990311848,22.9555152541191,84.8163214413681,7.07595663046176,0.136613841581378,0.313025238364675,0.397271464602697,0.997691750906718,0.0,20.7988967357293,0.0,0.0,0.0,0.0,0.0,0.0,0.464552144416231,0.464552144416231,0.0,18.0930514144734,13.3896087331531,3.0269706813203,1.676472,10.5239575999701,2.06848010300428,8.45163925696582,0.00383824,0.0,-37.1267723914236,-39.8648419860073,2.73806959458373,0.29075275,0.189765,0.10098775,0.556366,0.00070924,0.55565676,0.0,0.0,0.0,-7.19809248256385,0.0
ES,64.2841249824622,-3.07293515970191,5.48977523829771,12.5308278190545,46.9644489685637,17.3196760138985,0.094117842419659,0.420374488912322,0.488796509678956,1.74305465366688,0.0236357436194544,2.71979600000044,0.0,0.0,0.0,0.0,0.0,0.0,0.494910246774118,0.494910246774118,0.0,19.4844627018942,13.1799684597659,5.83288449212824,0.47160975,11.5433123103598,1.68667244312301,9.85033120723679,0.00630866,0.0,-42.2641173530174,-38.1489742533377,-4.11514309967968,0.180379,0.16782175,0.01255725,0.31931892,0.15477226,0.16454666,0.0,0.0,0.0,-10.2417341739893,0.0
PL,78.9158869894522,-3.70767730849558,5.47589579088439,6.46527523475247,32.9959060775059,45.9199809119463,0.0871076768498046,0.284042174983824,0.582289674882655,1.61682144548816,0.00947358050655792,2.89616123817339,0.0,0.0,0.0,0.0,0.0,0.0,0.866835489386104,0.866835489386104,0.0,13.4004508857438,11.875423782211,1.50079560353282,0.0242315,15.5367976027035,1.95328511270893,13.5723047099946,0.01120778,0.0,-29.1498049180735,-31.1221546023234,1.97234968424992,0.036363,0.034092,0.002271,1.09662212,0.00833804,1.08828408,0.0,0.0,0.0,1.78726417975995,0.0
SE,111.031648100278,-6.47339576992322,2.63241292567841,13.5236229797832,5.0861272372354,105.945520863043,0.020278760238045,0.0480659029530378,0.139749844669624,0.303603488270622,0.196226324326537,1.92448860522054,0.0,0.0,0.0,0.0,0.0,0.0,0.144211470186943,0.144211470186943,0.0,2.83557022927544,2.59084116214734,0.244729067128094,0.0,3.3651105815759,0.326970147731161,3.03814043384474,0.0,0.0,-46.6226462924951,-42.0969628076181,-4.52568348487701,0.22052525,0.00164575,0.2188795,0.17658884,0.04080812,0.13578072,0.0,0.0,0.0,-39.8806399214568,0.0
NL,5.43702400891832,8.49207927590754,4.03643385598723,2.60739309385051,3.08892600054216,2.34809800837617,0.0354851668291312,0.248151413221411,0.0740990816518015,0.144738138819381,0.0,3.5339600554655,0.0,0.0,0.0,0.0,0.0,0.0,0.0702231669443877,0.0702231669443877,0.0,11.3696676851306,7.76912766350209,3.60054002162855,0.0,5.94353519174161,0.614007802265302,5.32952738947631,0.0,0.0,6.5041255492486,-2.24844865167334,8.75257420092193,0.00032675,0.000272,5.475e-05,0.12944524,0.00526566,0.12417958,0.0,0.0,0.0,24.0173235830652,0.0
BE,15.9332076660167,7.40997126810449,2.89879389162933,5.17738601133929,5.15341094650034,10.7797967195163,0.0260963736954233,0.106558555340784,0.0918462413602322,0.135331284739831,0.0232610580260912,2.51570037846697,0.0,0.0,0.0,0.0,0.0,0.0,0.173036468910998,0.173036468910998,0.0,5.55434015383136,4.36222988006599,1.19211027376538,0.0,3.94866133350241,0.683842647296245,3.26481868620617,0.0,0.0,-1.30863670236719,-3.20750060210194,1.89886389973475,0.0,0.0,0.0,0.15495404,2.086e-05,0.15493318,0.0,0.0,0.0,8.52235529387758,0.0
FI,117.497838515185,-20.8705705436435,1.73813072263159,2.61850266073719,49.503552816929,67.9942856982558,0.0111403616272392,0.0323766582036421,0.0865814036696317,0.261853078294324,0.102748830950742,1.24343038988601,0.0,0.0,0.0,0.0,0.0,0.0,0.30775838098202,0.30775838098202,0.0,2.28578778088628,1.85230592183251,0.431289859053773,0.002192,3.55150968258427,0.269824247234514,3.28100897534976,0.00067646,0.0,-31.1046562591846,-38.7916512365633,7.68699497737874,0.07632325,0.0004125,0.07591075,0.15085952,0.01493278,0.13592674,0.0,0.0,0.0,-24.732417644732,0.0
CZ,35.0198525426779,-1.73650404651708,7.42038712793086,3.54169398755416,8.0903955435642,26.9294569991137,0.0207411047245438,0.0535245860897729,0.199076715946772,0.435685485153782,0.0449750761454049,6.66638415987058,0.0,0.0,0.0,0.0,0.0,0.0,0.261915467092967,0.261915467092967,0.0,3.37728794472919,2.69143917675284,0.685848767976356,0.0,3.91647823554429,0.781870420752383,3.1346078147919,0.0,0.0,-6.5507812729444,-5.91490051812385,-0.635880754820547,0.031663,0.031663,0.0,0.0258664,0.02087788,0.00498852000000001,0.0,0.0,0.0,1.06242977442205,0.0
DK,10.0739161512879,22.137338237778,3.07442198304897,2.94621433355962,5.89756551830776,4.17635063298018,0.0132931201404141,0.117763524841293,0.181762947508458,0.339076100183202,0.0,2.4225262903756,0.0,0.0,0.0,0.0,0.0,0.0,0.246550937173292,0.246550937173292,0.0,5.27010531170563,3.48520230252808,1.78184200917754,0.003061,4.45608673731412,0.73060167317318,3.72454040414094,0.00094466,0.0,4.45416062154948,0.548403256310494,3.90575736523899,0.02812525,0.0,0.02812525,0.01015882,0.0,0.01015882,0.0,0.0,0.0,14.4651876777425,0.0
PT,28.7176428229594,-1.34848698616091,1.16118147747165,3.1963896605209,8.02241358230376,20.6952292406556,0.023154141869337,0.0686652130648558,0.0323888851282596,0.146273323869086,0.0,0.890699913540112,0.0,0.0,0.0,0.0,0.0,0.0,0.0342247020692358,0.0342247020692358,0.0,4.1855150080789,3.34700722201197,0.664853036066938,0.17365475,2.2364918190718,0.169386884912402,2.0504795141594,0.01662542,0.0,-9.00499896595017,-10.8347029496597,1.82970398370958,0.14088125,0.06658475,0.0742965,0.35563022,0.03464846,0.32098176,0.0,0.0,0.0,-2.05225596673022,0.0
RO,42.9740879855701,-1.959660593892,2.6144219626688,3.11885236410942,22.9281370494511,20.0459509361189,0.0502538231343415,0.207575323888875,0.435821596475894,1.72444010497716,0.0,0.196331114192528,0.0,0.0,0.0,0.0,0.0,0.0,0.0898623394246691,0.0898623394246691,0.0,11.0201326531266,8.96322110843052,1.60838679469605,0.44852475,5.62320849000758,0.640056119784894,4.81979473022268,0.16335764,0.0,-25.5320079252511,-22.6625708809856,-2.86943704426557,0.00109875,0.00109875,0.0,1.99085456,0.00036058,1.99049398,0.0,0.0,0.0,-6.80685113269232,0.0
AT,57.841504729668,-2.71099538521232,3.93059056911101,6.41401538686419,24.9952764109273,32.8462283187407,0.019727681094061,0.073251388954771,0.115220681384649,0.249437605605186,0.0,3.47295321207234,0.0,0.0,0.0,0.0,0.0,0.0,0.107727058940844,0.107727058940844,0.0,4.43998169858071,4.01829394886657,0.421119999714142,0.00056775,2.34626770486605,0.424010432881125,1.92215893198493,9.834e-05,0.0,-4.34190103307358,-3.99218083327562,-0.349720199797961,0.0241095,0.00032275,0.02378675,0.1203771,0.02419462,0.09618248,0.0,0.0,0.0,2.69656202931402,0.0
BG,12.9502979370211,-0.699676798868178,1.65346836571575,1.8935704399204,8.0245543853407,4.92574355168041,0.0148642534435846,0.0431717294209374,0.213294595427694,0.70620654459176,0.0104020421791361,0.665529200652637,0.0,0.0,0.0,0.0,0.0,0.0,0.0372086,0.0372086,0.0,1.75492334955732,1.5269872178464,0.110581131710917,0.117355,3.83049557967451,0.461360247439527,3.36302983913774,0.00694936,0.0,-6.57791058508319,-5.67879652226264,-0.899114062820551,0.01277175,0.01277175,0.0,0.50848038,0.1546322,0.35384818,0.0,0.0,0.0,-0.43403092585136,0.0
EE,10.8372825368217,-0.525193966828128,0.221249169778021,0.0495478923793301,2.47385982690035,8.36342270992136,0.00295639807248269,0.0105210440417215,0.0202875153225129,0.0687981715582501,0.0,0.118686040783054,0.0,0.0,0.0,0.0,0.0,0.0,0.0064468050974187,0.0064468050974187,0.0,0.606616368788653,0.525932502830987,0.0806838659576653,0.0,0.63454729893689,0.059805503208283,0.574741795728607,0.0,0.0,-2.34381855578453,-2.9960626501103,0.652244094325778,6.325e-05,2.75e-06,6.05e-05,0.01746578,0.00066454,0.01680124,0.0,0.0,0.0,-1.07867905296157,0.0
GR,10.4121784705909,-0.57335713268225,1.87173752223969,1.93307968126161,9.86539749889217,0.546780971698769,0.0227863474274126,0.171775226981202,0.094170262844959,0.265600646233012,0.189333043646888,1.12807199510622,0.0,0.0,0.0,0.0,0.0,0.0,0.02600675,0.02600675,0.0,4.72820260149782,3.90886261650557,0.642924734992242,0.17641525,3.50753135382673,0.311323013563803,3.18518532026292,0.01102302,0.0,-3.69343047386496,-2.19602351564328,-1.49740695822167,0.01080875,0.004254,0.00655475,0.01551984,0.00034866,0.01517118,0.0,0.0,0.0,4.59463882145959,0.0
LV,28.500578356,-3.44545973840247,1.25768990901806,0.17928702083286,6.13981525180008,22.3607631041999,0.00467517975479129,0.0170285913922515,0.0512553177721084,0.152870600283009,0.0346756341713669,0.997184585644535,0.0,0.0,0.0,0.0,0.0,0.0,0.0173274807624675,0.0173274807624675,0.0,0.883432215269608,0.796075281086258,0.0873569341833497,0.0,1.5478611337094,0.0847660318624826,1.46309510184692,0.0,0.0,0.00802879068885054,-1.86185212663864,1.86988091732749,0.2531645,0.01281275,0.24035175,0.03949692,0.00150192,0.037995,0.0,0.0,0.0,2.74931104043032,0.0
HU,26.6561037576703,1.35776392646835,2.27497128787785,2.48085247642289,18.3878374428458,8.26826631482452,0.0204399911678556,0.0548676957070615,0.324579501479179,0.892244361729618,7.49514970725905e-05,0.98276478629706,0.0,0.0,0.0,0.0,0.0,0.0,0.173971650290705,0.173971650290705,0.0,2.48137606613216,1.87452726781408,0.58902154831808,0.01782725,3.5179469515414,0.446713164352074,3.07123378718933,0.0,0.0,-5.07171648527406,-5.35707885138814,0.285362366114073,0.01808175,0.0173275,0.000754250000000003,0.05265958,0.01828528,0.0343743,0.0,0.0,0.0,1.1723195126902,0.0
IE,4.47464185700114,-1.19243959702613,1.3078104957693,1.29056239062967,0.832373640039889,3.64226821696126,0.0108511167723932,0.239529655476612,0.0513364808815885,0.082187627143561,0.299417382216087,0.624488233279058,0.0,0.0,0.0,0.0,0.0,0.0,0.535611390898894,0.535611390898894,0.0,10.8684468295699,9.66345818235846,1.20498864721139,0.0,6.11597187385593,0.486614280740889,5.62935759311504,0.0,0.0,3.66765483473774,-4.02741009848767,7.6950649332254,0.3308945,0.004342,0.3265525,0.16482082,0.00030098,0.16451984,0.0,0.0,0.0,21.6834002490624,0.0
SK,10.088728864082,-0.448169598959128,2.12279526894925,1.66708716199433,2.29056963580345,7.79815922827859,0.011939245777504,0.0246151125791015,0.098760644864521,0.265096750226578,0.0385946378503746,1.68378887765117,0.0,0.0,0.0,0.0,0.0,0.0,0.0682189604601,0.0682189604601,0.0,1.12936063355547,0.977238519307341,0.152122114248131,0.0,1.30387040300478,0.168664875061428,1.13520552794335,0.0,0.0,-6.80313909108074,-4.78894945520078,-2.01418963587995,0.023053,0.023053,0.0,0.03302734,0.01520098,0.01782636,0.0,0.0,0.0,-4.24560875406039,0.0
LT,15.3469672702464,-0.952853238055401,0.837988537731122,0.724259135829009,6.4766209274854,8.87034634276099,0.00719180120047751,0.0314416851568473,0.110279796510831,0.308733741322135,0.0253926065260917,0.35494890701474,0.0,0.0,0.0,0.0,0.0,0.0,0.032580163771822,0.032580163771822,0.0,1.79120000780343,1.52514474115656,0.266055266646867,0.0,2.3858027304366,0.184929969728614,2.20087276070799,0.0,0.0,-6.91494761802681,-9.19824157114594,2.28329395311913,0.00130275,0.00011,0.00119275,0.10952096,7.152e-05,0.10944944,0.0,0.0,0.0,-2.59454100601495,0.0
HR,15.2038561101265,-0.758245949289705,0.808832002708287,0.084303329189564,8.45398860492043,6.74986750520604,0.00939673895970464,0.0220344947557935,0.0701420387790486,0.183527939192079,0.00683644518144654,0.516894345840215,0.0,0.0,0.0,0.0,0.0,0.0,0.0745921720997418,0.0745921720997418,0.0,1.53887340657947,1.12987590009445,0.408997506485024,0.0,1.16164052021252,0.157711456774916,1.0039290634376,0.0,0.0,-5.29203306607648,-5.26310934094837,-0.0289237251281055,0.013964,0.009821,0.004143,0.11104076,0.00647554,0.10456522,0.0,0.0,0.0,-2.39192220718475,0.0
LU,0.808238518341531,-0.0128768374902093,0.243950865083292,1.00355317147955,0.329847317253068,0.478391201088463,0.00132644666620938,0.00531969634959925,0.00536420084765939,0.0112066696700331,0.0,0.220733851549791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.454689361161864,-0.501760630841181,0.0470712696793173,0.0,0.0,0.0,0.01079356,0.0,0.01079356,0.0,0.0,0.0,-0.443895801161864,0.0
SI,7.4463161975809,-0.290097621113988,0.411467280831081,0.229923744019448,2.30651876430289,5.13979743327801,0.00461277058502088,0.0154829679253854,0.0127679686498612,0.0338774806712746,0.0097430620043782,0.334983030995161,0.0,0.0,0.0,0.0,0.0,0.0,0.0222317375611767,0.0222317375611767,0.0,1.10121442480171,0.871156682418775,0.230057742382935,0.0,0.503975929044386,0.0932148042051478,0.410761124839238,0.0,0.0,-5.0335014164816,-5.117621211363,0.0841197948814058,0.0002425,0.0002425,0.0,0.02751434,0.00016092,0.02735342,0.0,0.0,0.0,-3.37832248507433,0.0
CH,0.0,0.0,0.174051719927844,0.0618166418173323,0.0,0.0,0.0169742824610467,0.0810243829847945,0.0266476977887545,0.049405356693248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084279272220155,0.084279272220155,0.0,7.94118331959074,6.49685646343461,1.44432685615613,0.0,3.54091760224269,0.675008312441474,2.86590928980121,0.0,0.0,-2.25684501912144,-5.5274531821383,3.27060816301685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.30953517493214,0.0
NO,0.0,0.0,0.164093570417451,0.0329666307591936,0.0,0.0,0.0106344902165594,0.0357051411032628,0.0203231728393784,0.0619907385628893,0.0354400276953607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.160870655693106,0.160870655693106,0.0,4.0624753268338,3.57531062062469,0.482755206209104,0.0044095,3.52297303894044,0.30847939710412,3.21312880183632,0.00136484,0.0,-50.3133671310019,-59.8165720179927,9.50320488699081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.5670481095346,0.0
