,Total population,Total GHG emissions from non-energy sources,Total net GHG emissions from non-energy sources in agriculture,GHG emissions from non-energy sources in industry (process emissions),GHG emissions from non-energy sources in waste management,GHG emissions from non-energy sources in other sectors (industrial product use),Total final energy consumption,Final energy consumption from solid fossil fuels (coal ...),Final energy consumption from solid biomass,Final oil consumption,Final energy consumption from gas grid / gas consumed locally,Final electricity consumption,Final energy consumption from heating networks,Final energy consumption from ambient heat (heat pumpsâ€¦),Final energy consumption from thermal solar,Any general comment on Demography?,Any general comment on GHG emissions?
FR,67769.3291262136,0.0,-14.2499774184129,9.0962900894105,8.48958211145688,3.61969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,83178.426,0.0,26.7466277250124,20.2261318107813,8.11327487112874,2.26757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,72831.2421384233,0.0,-2.01414491007779,7.42014699215119,9.2054228737169,2.712482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,59375.006,0.0,-32.1260714457233,8.49443133546905,7.88073404132931,3.073266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,49377.094,0.0,-18.4096313010794,6.10493581468955,6.47388609605754,1.824784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,35661.656,0.0,-21.0168165039182,4.87626936625848,5.12844568499549,1.369046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,11693.373,0.0,-43.9151085591058,3.90277863424677,1.15937487339398,0.224454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,18185.792,0.0,17.038167927212,5.1358740350008,1.9864715838451,0.330538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,11894.881,0.0,5.01390686523358,3.79815958117518,1.16950623292897,0.58415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,5426.143,0.0,-29.8906304345358,3.43332790005593,0.796947941074341,0.264638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,10625.402,0.0,-1.5422518926097,2.50596685256337,1.7738521984937,0.661346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,6055.503,0.0,15.6578611804378,0.69204508540535,0.662080432753547,0.093414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,9786.632,0.0,-4.91695856013782,1.47733060168002,1.64718306321296,0.564314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,16576.187,0.0,-14.2740465118452,1.71045449012392,2.27848967816437,0.327696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,9292.363,0.0,4.12404784387129,3.08812498839065,0.978618922489113,0.335684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,6016.719,0.0,4.04403445321236,0.901813477045037,1.13738324903645,0.24442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,1281.555,0.0,-2.52660472051615,0.17153353250362,0.158141713740885,0.044642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,9910.798,0.0,2.77458915609613,1.04250006047824,1.5696435509931,1.210696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,1536.108,0.0,2.11910935762109,0.262621842915492,0.219232791554725,0.050904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,9441.139,0.0,4.68251707822392,1.43823361346022,1.37538923829357,0.365096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,5904.54,0.0,7.75883896938468,0.678843244955186,0.635182080233888,0.233132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,5312.439,0.0,-5.22725384350879,1.33994227558291,0.700460007258076,0.146976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,2339.698,0.0,-7.01638511930266,0.332327540856118,0.354196953142846,0.11355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,3612.487,0.0,-0.383131471967877,0.336538516425488,0.596870699369017,0.106728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,739.137,0.0,-0.980252682783312,0.190268801571835,0.0721610801331119,0.012948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,2081.622,0.0,-4.30755008670932,0.402030436196682,0.245309089817825,0.068648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,9542.915,0.0,8.57167382443527,1.02297945599331,0.87283937156994,0.297744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,6095.952,0.0,-87.4704103848187,1.97561210252393,0.713865794224161,0.193204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
